"line" "CW" "DTA" "DTS" "DTT" "ED" "EH" "EL" "ELL" "ELW" "ERN" "EW" "KNPE" "KNPR" "KWPE" "LBT" "PH" "TBN" "TL"
"136" "MG_204_X_MG_1529" 35.13 62.79 63.31 61.03 4.74 125.96 18.36 82.72 10.46 14.67 218.13 566.16 38.47 183.23 3.98 279 16.82 32.06
"137" "MG_204_X_MG_1531" 37.38 70.89 72.64 69.1 4.92 127.64 20.12 85.04 9.94 15 226.78 614.22 40.4 207.38 4.54 279.43 19.65 33.22
"138" "MG_204_X_MG_1532" 35.35 68.68 70.45 67.64 4.81 139.08 18.84 90.29 10.92 12.38 208.13 518.35 40.09 182.07 6.5 290.73 19.83 33.72
"139" "MG_204_X_MG_1533" 41.29 65.55 66.97 64.33 5.08 122.19 20.87 86.41 10.76 15.51 265.2 658.67 41.48 226.35 4.7 268.44 16.17 35.2
"140" "MG_204_X_MG_1535" 36.69 66.29 67.15 64.33 4.86 118.15 20.04 87.47 10.9 15.75 247.65 614.22 39.11 212.82 4.19 263.47 16.24 33.24
"141" "MG_204_X_MG_1536" 33.66 65.18 66.24 63.6 4.94 113.43 18.76 85.87 10.11 17.07 236.43 650.4 38.69 209.94 4.03 267.1 19.07 33.41
"142" "MG_204_X_MG_1539" 47.85 69.97 72.09 67.82 5.17 146.28 19.62 96.07 10.7 15.63 254.46 619.91 39.48 198.13 5.06 286 23.36 33.26
"143" "MG_204_X_MG_1541" 41.32 71.26 73.56 69.84 4.72 164.18 19.09 95.63 10.24 13.94 230.74 547.29 38.69 190.59 4.02 334.89 18.07 37.4
"144" "MG_204_X_MG_1542" 37.26 66.29 67.33 64.7 4.63 131.47 18.78 87.26 10.65 16.38 245.54 628.18 38.77 209.78 4 298.93 13.78 36.54
"145" "MG_204_X_MG_1543" 39.26 63.71 65.14 62.5 5.25 118.19 18.61 90.7 10.35 15.81 261.23 629.47 39.68 231.12 4.35 287.33 16.42 36.17
"146" "MG_204_X_MG_1544" 37.09 63.9 64.59 62.68 5.05 119.41 19.03 90.62 10.71 15.75 254.07 610.09 38.88 217.53 4.35 297.35 14.74 36.99
